gp,min,fgm,fg,3p_made,3pa,3p,ftm,fta,ft,oreb,dreb,reb,stl,blk,target_5yrs,shooting_accuracy,assist_turnover_ratio
36,27.4,2.6,34.7,0.5,2.1,25.0,1.6,2.3,69.9,0.7,3.4,4.1,0.4,0.4,0,0.9736842105263159,1.4615384615384615
35,26.9,2.0,29.6,0.7,2.8,23.5,2.6,3.4,76.5,0.5,2.0,2.4,1.1,0.5,0,1.0746268656716418,2.3125
74,15.3,2.0,42.2,0.4,1.7,24.4,0.9,1.3,67.0,0.5,1.7,2.2,0.5,0.3,0,1.1063829787234043,1.0
58,11.6,2.3,42.6,0.1,0.5,22.6,0.9,1.3,68.9,1.0,0.9,1.9,0.6,0.1,1,1.0363636363636364,0.8
48,11.5,1.6,52.4,0.0,0.1,0.0,1.3,1.9,67.4,1.0,1.5,2.5,0.3,0.4,1,1.5,0.37499999999999994
75,11.4,1.5,42.3,0.3,1.1,32.5,0.4,0.5,73.2,0.2,0.7,0.8,0.4,0.0,0,1.0571428571428572,2.5714285714285716
62,10.9,2.5,43.5,0.0,0.1,50.0,1.5,1.8,81.1,0.5,1.4,2.0,0.2,0.1,1,1.1379310344827587,0.8571428571428572
48,10.3,2.3,41.5,0.4,1.5,30.0,0.7,0.8,87.5,0.8,0.9,1.7,0.2,0.1,1,1.0555555555555556,0.28571428571428575
65,9.9,1.0,39.2,0.1,0.5,23.3,0.4,0.5,71.4,0.2,0.6,0.8,0.3,0.0,0,1.0,2.0909090909090904
42,8.5,1.4,38.3,0.1,0.3,21.4,1.0,1.4,67.8,0.4,0.7,1.1,0.2,0.0,0,1.0571428571428572,0.4285714285714286
35,6.9,0.9,36.5,0.0,0.1,33.3,0.5,0.6,81.8,0.5,0.3,0.9,0.1,0.1,0,0.9583333333333333,2.3333333333333335
40,6.7,1.2,39.8,0.1,0.6,13.6,1.1,1.5,77.6,0.5,0.8,1.2,0.3,0.1,1,1.2,0.6666666666666667
27,6.6,0.6,47.2,0.0,0.0,0.0,0.1,0.3,28.6,0.6,1.4,2.0,0.2,0.6,1,1.0,0.6666666666666667
45,15.3,1.9,32.3,1.1,3.6,30.1,0.7,0.8,86.1,0.5,1.6,2.0,0.5,0.3,0,0.9333333333333332,1.0
44,6.4,1.0,53.7,0.0,0.0,0.0,0.4,0.7,50.0,0.4,1.0,1.4,0.2,0.4,1,1.263157894736842,0.33333333333333337
40,6.1,0.9,51.4,0.1,0.4,14.3,0.7,1.0,68.4,0.1,0.3,0.4,0.3,0.0,1,1.4444444444444444,1.7499999999999998
49,5.3,0.7,37.6,0.0,0.0,0.0,0.7,1.1,64.2,0.5,0.7,1.2,0.3,0.2,0,1.105263157894737,0.4
41,4.2,0.6,34.8,0.1,0.3,21.4,0.5,0.6,73.1,0.1,0.2,0.3,0.3,0.0,0,1.0625,2.5
82,37.2,7.5,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,1.0,0.6,0,1.2549019607843137,1.8947368421052633
82,37.2,7.5,49.0,0.1,0.3,22.7,4.1,5.0,82.9,3.9,7.0,11.0,1.0,0.6,1,1.2549019607843137,1.8947368421052633
80,31.4,5.9,52.5,0.0,0.1,11.1,2.6,3.9,65.4,3.0,5.0,8.0,1.1,0.8,1,1.2882882882882885,1.0909090909090908
82,30.5,5.4,48.9,0.0,0.1,16.7,2.6,3.9,66.6,2.3,2.8,5.1,1.5,0.3,1,1.2090909090909092,1.1363636363636362
76,30.3,4.4,37.5,0.1,0.4,13.3,1.8,2.4,73.0,1.1,1.8,2.9,2.0,0.2,1,0.905982905982906,1.1
61,29.6,4.9,45.4,0.7,2.0,32.0,1.6,2.1,74.8,1.3,1.8,3.1,1.0,0.3,0,1.1214953271028039,1.8399999999999999
32,15.2,2.8,53.3,0.0,0.1,0.0,0.8,1.3,62.5,1.7,3.5,5.2,0.5,0.5,0,1.2115384615384615,0.4
76,29.3,4.0,51.4,0.0,0.0,0.0,2.5,3.1,80.7,2.4,3.5,5.9,0.7,0.6,1,1.3333333333333335,1.0666666666666667
52,24.6,3.1,45.1,1.1,2.6,43.4,2.1,2.5,83.6,0.5,1.4,1.9,0.6,0.0,0,1.3676470588235297,2.055555555555556
76,22.5,3.8,41.5,0.0,0.1,0.0,1.2,1.6,73.6,1.7,3.4,5.1,0.8,0.5,1,0.9565217391304349,1.3076923076923077
78,22.0,3.9,44.7,0.7,1.8,39.0,1.6,2.2,74.1,0.9,2.0,3.0,1.2,0.3,0,1.160919540229885,1.8333333333333335
51,20.7,3.2,49.7,0.0,0.0,0.0,2.0,2.9,66.7,2.3,3.1,5.4,0.5,0.5,1,1.3125,0.5333333333333333
64,20.3,2.4,55.2,0.0,0.0,0.0,1.4,2.4,57.2,2.5,3.9,6.4,0.4,1.2,1,1.409090909090909,0.625
55,20.3,4.3,52.9,0.0,0.0,0.0,1.8,3.6,51.5,2.1,4.1,6.1,0.4,1.5,1,1.2839506172839508,0.5
82,19.6,3.1,41.9,0.0,0.3,4.3,1.2,1.5,80.6,0.6,1.4,2.0,1.0,0.3,1,1.0136986301369864,2.2941176470588234
48,18.9,3.6,52.8,0.0,0.0,0.0,2.0,3.0,66.9,2.4,3.3,5.7,0.8,1.1,1,1.338235294117647,0.38888888888888884
34,13.4,1.5,30.2,0.4,1.9,18.5,0.9,1.0,91.2,0.1,1.3,1.4,0.6,0.2,0,0.86,3.1
42,18.6,3.1,40.0,0.7,2.0,35.7,1.5,1.9,83.3,0.7,1.2,2.0,0.8,0.1,1,1.103896103896104,1.0
82,18.4,2.0,37.0,0.1,0.7,14.5,1.4,1.9,74.1,0.4,1.3,1.7,0.7,0.1,1,1.0377358490566038,3.1666666666666665
64,17.0,2.9,39.0,0.0,0.2,23.1,1.1,1.5,74.5,0.6,1.4,2.0,1.1,0.1,1,0.9333333333333333,2.1333333333333333
80,16.9,3.0,52.9,0.0,0.0,0.0,1.3,1.9,69.1,1.3,2.9,4.2,0.6,0.8,1,1.2982456140350878,0.36363636363636365
77,15.1,2.3,46.7,0.0,0.2,21.4,1.1,1.3,81.0,1.4,2.5,3.8,0.3,0.6,1,1.1428571428571428,0.4444444444444445
55,14.9,1.7,41.7,0.1,0.1,37.5,0.6,0.8,76.1,0.5,1.0,1.5,0.7,0.2,0,1.0,1.875
48,14.8,2.1,40.7,0.0,0.4,9.5,0.9,1.2,80.4,0.6,1.1,1.7,0.9,0.0,0,1.0,1.6153846153846154
51,14.5,1.5,39.9,0.2,0.7,27.0,1.8,2.0,87.5,0.4,1.2,1.5,0.9,0.0,0,1.3157894736842106,2.0
51,13.2,1.6,40.2,0.2,0.6,36.7,0.4,0.5,76.9,0.6,1.5,2.1,0.3,0.2,0,0.951219512195122,1.142857142857143
